Cell type,Gene ID,Gene name,Gene biotype,FC,FDR,,,,,
Neu-NRGN-II,ENSG00000132872,SYT4,protein_coding,1.694495962,5.0988E-200,,,,,
Neu-NRGN-II,ENSG00000166501,PRKCB,protein_coding,1.978037147,4.0499E-198,,,,,
Neu-NRGN-II,ENSG00000171314,PGAM1,protein_coding,1.73773879,8.2026E-198,,,,,
Neu-NRGN-II,ENSG00000159164,SV2A,protein_coding,1.761215918,6.5612E-197,,,,,
Neu-NRGN-II,ENSG00000112186,CAP2,protein_coding,1.833828237,1.4072E-196,,,,,
Neu-NRGN-II,ENSG00000117152,RGS4,protein_coding,1.851173341,9.4369E-196,,,,,
Neu-NRGN-II,ENSG00000125814,NAPB,protein_coding,1.714195459,2.4893E-195,,,,,
Neu-NRGN-II,ENSG00000089220,PEBP1,protein_coding,1.739944075,1.1941E-194,,,,,
Neu-NRGN-II,ENSG00000145335,SNCA,protein_coding,1.924628727,2.1118E-193,,,,,
Neu-NRGN-II,ENSG00000114573,ATP6V1A,protein_coding,1.424439394,1.2872E-192,,,,,
Neu-NRGN-II,ENSG00000172757,CFL1,protein_coding,1.692739633,1.2331E-191,,,,,
Neu-NRGN-II,ENSG00000133134,BEX2,protein_coding,1.776735306,3.5055E-191,,,,,
Neu-NRGN-II,ENSG00000196262,PPIA,protein_coding,1.651742239,4.5675E-191,,,,,
Neu-NRGN-II,ENSG00000109180,OCIAD1,protein_coding,1.537943783,4.2107E-190,,,,,
Neu-NRGN-II,ENSG00000172020,GAP43,protein_coding,1.801069021,2.3413E-188,,,,,
Neu-NRGN-II,ENSG00000100321,SYNGR1,protein_coding,1.436493992,6.3986E-188,,,,,
Neu-NRGN-II,ENSG00000111669,TPI1,protein_coding,1.636182439,1.6615E-187,,,,,
Neu-NRGN-II,ENSG00000073969,NSF,protein_coding,1.735062885,1.2415E-186,,,,,
Neu-NRGN-II,ENSG00000188191,PRKAR1B,protein_coding,1.618661281,3.8327E-186,,,,,
Neu-NRGN-II,ENSG00000164924,YWHAZ,protein_coding,1.707532676,9.0202E-186,,,,,
Neu-NRGN-II,ENSG00000221890,NPTXR,protein_coding,1.912255204,1.1186E-185,,,,,
Neu-NRGN-II,ENSG00000147416,ATP6V1B2,protein_coding,1.662181881,1.399E-185,,,,,
Neu-NRGN-II,ENSG00000173660,UQCRH,protein_coding,1.591754985,3.8637E-185,,,,,
Neu-NRGN-II,ENSG00000084234,APLP2,protein_coding,1.587460727,9.5034E-185,,,,,
Neu-NRGN-II,ENSG00000014641,MDH1,protein_coding,1.540610885,2.3586E-184,,,,,
Neu-NRGN-II,ENSG00000154917,RAB6B,protein_coding,1.546641292,9.452E-184,,,,,
Neu-NRGN-II,ENSG00000132824,SERINC3,protein_coding,1.585650873,2.3077E-183,,,,,
Neu-NRGN-II,ENSG00000126214,KLC1,protein_coding,1.62793584,3.3161E-183,,,,,
Neu-NRGN-II,ENSG00000092096,SLC22A17,protein_coding,1.589776019,1.6727E-182,,,,,
Neu-NRGN-II,ENSG00000139182,CLSTN3,protein_coding,1.423624773,1.7163E-182,,,,,
Neu-NRGN-II,ENSG00000176788,BASP1,protein_coding,1.776702044,1.0313E-181,,,,,
Neu-NRGN-II,ENSG00000136156,ITM2B,protein_coding,1.52871185,4.3542E-181,,,,,
Neu-NRGN-II,ENSG00000136928,GABBR2,protein_coding,1.851787221,3.4617E-180,,,,,
Neu-NRGN-II,ENSG00000129625,REEP5,protein_coding,1.472279263,3.6493E-180,,,,,
Neu-NRGN-II,ENSG00000117410,ATP6V0B,protein_coding,1.680702948,7.635E-180,,,,,
Neu-NRGN-II,ENSG00000120265,PCMT1,protein_coding,1.471555117,5.3098E-178,,,,,
Neu-NRGN-II,ENSG00000141367,CLTC,protein_coding,1.325107908,4.3345E-177,,,,,
Neu-NRGN-II,ENSG00000022355,GABRA1,protein_coding,1.833426305,4.8001E-177,,,,,
Neu-NRGN-II,ENSG00000087460,GNAS,protein_coding,1.697018851,2.7322E-176,,,,,
Neu-NRGN-II,ENSG00000102409,BEX4,protein_coding,1.434148153,8.2167E-176,,,,,
Neu-NRGN-II,ENSG00000075624,ACTB,protein_coding,1.584575694,8.526E-176,,,,,
Neu-NRGN-II,ENSG00000130540,SULT4A1,protein_coding,1.582381305,9.0024E-176,,,,,
Neu-NRGN-II,ENSG00000176884,GRIN1,protein_coding,1.918109731,1.2625E-175,,,,,
Neu-NRGN-II,ENSG00000152583,SPARCL1,protein_coding,2.191245488,1.9898E-175,,,,,
Neu-NRGN-II,ENSG00000005486,RHBDD2,protein_coding,1.412668057,1.9704E-173,,,,,
Neu-NRGN-II,ENSG00000167552,TUBA1A,protein_coding,1.648066085,2.8881E-173,,,,,
Neu-NRGN-II,ENSG00000176956,LY6H,protein_coding,1.635316967,2.9927E-173,,,,,
Neu-NRGN-II,ENSG00000130294,KIF1A,protein_coding,1.483290761,4.1589E-173,,,,,
Neu-NRGN-II,ENSG00000196950,SLC39A10,protein_coding,1.686701314,1.2937E-172,,,,,
Neu-NRGN-II,ENSG00000132718,SYT11,protein_coding,1.380913446,1.8832E-171,,,,,
Neu-NRGN-II,ENSG00000058404,CAMK2B,protein_coding,1.745862472,6.579E-171,,,,,
Neu-NRGN-II,ENSG00000185518,SV2B,protein_coding,1.789647329,8.4286E-171,,,,,
Neu-NRGN-II,ENSG00000144746,ARL6IP5,protein_coding,1.286631075,1.309E-170,,,,,
Neu-NRGN-II,ENSG00000113387,SUB1,protein_coding,1.303855304,1.4552E-170,,,,,
Neu-NRGN-II,ENSG00000131437,KIF3A,protein_coding,1.343122132,3.0629E-170,,,,,
Neu-NRGN-II,ENSG00000156411,C14orf2,protein_coding,1.467486176,1.2088E-169,,,,,
Neu-NRGN-II,ENSG00000162545,CAMK2N1,protein_coding,1.825576659,1.0952E-168,,,,,
Neu-NRGN-II,ENSG00000197102,DYNC1H1,protein_coding,1.392061756,1.0952E-168,,,,,
Neu-NRGN-II,ENSG00000102804,TSC22D1,protein_coding,1.421274812,1.1153E-168,,,,,
Neu-NRGN-II,ENSG00000105290,APLP1,protein_coding,1.75505289,2.0196E-168,,,,,
Neu-NRGN-II,ENSG00000196230,TUBB,protein_coding,1.417076025,3.115E-168,,,,,
Neu-NRGN-II,ENSG00000033627,ATP6V0A1,protein_coding,1.252037704,3.2397E-168,,,,,
Neu-NRGN-II,ENSG00000137409,MTCH1,protein_coding,1.440608782,8.524E-168,,,,,
Neu-NRGN-II,ENSG00000169567,HINT1,protein_coding,1.468414487,1.5026E-167,,,,,
Neu-NRGN-II,ENSG00000198961,PJA2,protein_coding,1.473287623,4.7559E-167,,,,,
Neu-NRGN-II,ENSG00000081189,MEF2C,protein_coding,1.777270714,4.2392E-166,,,,,
Neu-NRGN-II,ENSG00000110427,KIAA1549L,protein_coding,1.345339653,1.6504E-165,,,,,
Neu-NRGN-II,ENSG00000008056,SYN1,protein_coding,1.387555966,3.1564E-165,,,,,
Neu-NRGN-II,ENSG00000117600,PLPPR4,protein_coding,1.442156559,3.7577E-164,,,,,
Neu-NRGN-II,ENSG00000145864,GABRB2,protein_coding,2.049517157,2.1707E-162,,,,,
Neu-NRGN-II,ENSG00000107758,PPP3CB,protein_coding,1.329125114,2.2502E-162,,,,,
Neu-NRGN-II,ENSG00000166448,TMEM130,protein_coding,1.285945989,4.3529E-162,,,,,
Neu-NRGN-II,ENSG00000110955,ATP5B,protein_coding,1.444452587,1.1835E-161,,,,,
Neu-NRGN-II,ENSG00000164061,BSN,protein_coding,1.249149877,3.2988E-161,,,,,
Neu-NRGN-II,ENSG00000008952,SEC62,protein_coding,1.233255698,3.7583E-161,,,,,
Neu-NRGN-II,ENSG00000072832,CRMP1,protein_coding,1.103093066,7.9818E-161,,,,,
Neu-NRGN-II,ENSG00000124140,SLC12A5,protein_coding,1.386343181,7.9983E-161,,,,,
Neu-NRGN-II,ENSG00000055163,CYFIP2,protein_coding,1.138772082,1.2246E-160,,,,,
Neu-NRGN-II,ENSG00000102226,USP11,protein_coding,1.286515836,2.8708E-160,,,,,
Neu-NRGN-II,ENSG00000074317,SNCB,protein_coding,1.574642704,5.0332E-160,,,,,
Neu-NRGN-II,ENSG00000198794,SCAMP5,protein_coding,1.440644617,9.4851E-160,,,,,
Neu-NRGN-II,ENSG00000100604,CHGA,protein_coding,1.242338235,6.2046E-159,,,,,
Neu-NRGN-II,ENSG00000054793,ATP9A,protein_coding,1.210592833,1.4054E-158,,,,,
Neu-NRGN-II,ENSG00000162188,GNG3,protein_coding,1.379193316,1.6424E-157,,,,,
Neu-NRGN-II,ENSG00000113558,SKP1,protein_coding,1.186135508,4.0848E-157,,,,,
Neu-NRGN-II,ENSG00000144834,TAGLN3,protein_coding,1.448337495,6.8663E-157,,,,,
Neu-NRGN-II,ENSG00000197457,STMN3,protein_coding,1.381807819,1.6415E-156,,,,,
Neu-NRGN-II,ENSG00000131143,COX4I1,protein_coding,1.315381641,8.1287E-156,,,,,
Neu-NRGN-II,ENSG00000175602,CCDC85B,protein_coding,1.510050506,8.3008E-156,,,,,
Neu-NRGN-II,ENSG00000118160,SLC8A2,protein_coding,1.101093721,3.2946E-155,,,,,
Neu-NRGN-II,ENSG00000100030,MAPK1,protein_coding,1.362580346,5.93E-155,,,,,
Neu-NRGN-II,ENSG00000054356,PTPRN,protein_coding,1.469429798,1.2806E-154,,,,,
Neu-NRGN-II,ENSG00000165678,GHITM,protein_coding,1.291655474,3.5708E-154,,,,,
Neu-NRGN-II,ENSG00000112335,SNX3,protein_coding,1.082493778,6.2148E-154,,,,,
Neu-NRGN-II,ENSG00000143774,GUK1,protein_coding,1.230365939,1.8546E-153,,,,,
Neu-NRGN-II,ENSG00000164951,PDP1,protein_coding,1.310487484,2.1483E-153,,,,,
Neu-NRGN-II,ENSG00000069424,KCNAB2,protein_coding,1.038542108,5.8942E-153,,,,,
Neu-NRGN-II,ENSG00000164076,CAMKV,protein_coding,1.09624258,7.5335E-153,,,,,
Neu-NRGN-II,ENSG00000174684,B4GAT1,protein_coding,1.236929463,9.4635E-153,,,,,
Neu-NRGN-II,ENSG00000176749,CDK5R1,protein_coding,1.352254168,1.0583E-152,,,,,
Neu-NRGN-II,ENSG00000089199,CHGB,protein_coding,1.264256156,1.3364E-152,,,,,
Neu-NRGN-II,ENSG00000138071,ACTR2,protein_coding,1.187531133,2.2746E-152,,,,,
Neu-NRGN-II,ENSG00000187109,NAP1L1,protein_coding,1.182344635,3.1283E-152,,,,,
Neu-NRGN-II,ENSG00000171130,ATP6V0E2,protein_coding,1.250293442,2.119E-151,,,,,
Neu-NRGN-II,ENSG00000109971,HSPA8,protein_coding,1.34580934,3.8331E-151,,,,,
Neu-NRGN-II,ENSG00000168490,PHYHIP,protein_coding,1.546435953,4.5564E-151,,,,,
Neu-NRGN-II,ENSG00000184009,ACTG1,protein_coding,1.388526501,5.2292E-151,,,,,
Neu-NRGN-II,ENSG00000086300,SNX10,protein_coding,1.175975312,6.8243E-151,,,,,
Neu-NRGN-II,ENSG00000174748,RPL15,protein_coding,1.1680103,1.069E-150,,,,,
Neu-NRGN-II,ENSG00000142168,SOD1,protein_coding,1.274960218,1.1198E-150,,,,,
Neu-NRGN-II,ENSG00000159720,ATP6V0D1,protein_coding,1.157222828,3.669E-150,,,,,
Neu-NRGN-II,ENSG00000071553,ATP6AP1,protein_coding,1.224392218,4.4444E-150,,,,,
Neu-NRGN-II,ENSG00000167996,FTH1,protein_coding,1.647974004,1.1837E-149,,,,,
Neu-NRGN-II,ENSG00000109472,CPE,protein_coding,1.658344776,1.8438E-149,,,,,
Neu-NRGN-II,ENSG00000165023,DIRAS2,protein_coding,1.422256787,2.4999E-149,,,,,
Neu-NRGN-II,ENSG00000189241,TSPYL1,protein_coding,1.449766103,4.8558E-149,,,,,
Neu-NRGN-II,ENSG00000142875,PRKACB,protein_coding,1.356938601,7.0164E-149,,,,,
Neu-NRGN-II,ENSG00000197106,SLC6A17,protein_coding,1.064304453,1.2653E-148,,,,,
Neu-NRGN-II,ENSG00000106537,TSPAN13,protein_coding,1.049980609,1.4847E-148,,,,,
Neu-NRGN-II,ENSG00000138757,G3BP2,protein_coding,1.129778831,1.8543E-148,,,,,
Neu-NRGN-II,ENSG00000075945,KIFAP3,protein_coding,1.128051619,6.5566E-148,,,,,
Neu-NRGN-II,ENSG00000185787,MORF4L1,protein_coding,1.255821174,9.4327E-148,,,,,
Neu-NRGN-II,ENSG00000113327,GABRG2,protein_coding,1.269295221,3.5497E-147,,,,,
Neu-NRGN-II,ENSG00000111716,LDHB,protein_coding,1.153562332,5.2757E-147,,,,,
Neu-NRGN-II,ENSG00000084731,KIF3C,protein_coding,1.03021401,1.3416E-146,,,,,
Neu-NRGN-II,ENSG00000260230,FRRS1L,protein_coding,1.142842878,3.4576E-146,,,,,
Neu-NRGN-II,ENSG00000127184,COX7C,protein_coding,1.267418642,5.8655E-146,,,,,
Neu-NRGN-II,ENSG00000170500,LONRF2,protein_coding,1.186553914,3.5897E-145,,,,,
Neu-NRGN-II,ENSG00000036530,CYP46A1,protein_coding,1.018280295,7.4844E-144,,,,,
Neu-NRGN-II,ENSG00000134333,LDHA,protein_coding,1.220054858,1.4677E-143,,,,,
Neu-NRGN-II,ENSG00000127824,TUBA4A,protein_coding,1.235044509,1.6721E-143,,,,,
Neu-NRGN-II,ENSG00000171159,C9orf16,protein_coding,1.193730323,2.282E-143,,,,,
Neu-NRGN-II,ENSG00000089737,DDX24,protein_coding,1.15657,2.8169E-143,,,,,
Neu-NRGN-II,ENSG00000153130,SCOC,protein_coding,1.118501499,3.329E-143,,,,,
Neu-NRGN-II,ENSG00000020129,NCDN,protein_coding,1.229805058,5.6112E-143,,,,,
Neu-NRGN-II,ENSG00000050165,DKK3,protein_coding,1.27955366,6.7428E-143,,,,,
Neu-NRGN-II,ENSG00000074590,NUAK1,protein_coding,1.288819273,7.0014E-143,,,,,
Neu-NRGN-II,ENSG00000096092,TMEM14A,protein_coding,1.033190053,7.0299E-143,,,,,
Neu-NRGN-II,ENSG00000254999,BRK1,protein_coding,1.223930542,2.0154E-142,,,,,
Neu-NRGN-II,ENSG00000101460,MAP1LC3A,protein_coding,1.202030128,3.3169E-142,,,,,
Neu-NRGN-II,ENSG00000273079,GRIN2B,protein_coding,1.848077279,1.4608E-141,,,,,
Neu-NRGN-II,ENSG00000155980,KIF5A,protein_coding,1.060037874,1.7815E-141,,,,,
Neu-NRGN-II,ENSG00000074800,ENO1,protein_coding,1.157656024,1.8445E-141,,,,,
Neu-NRGN-II,ENSG00000101856,PGRMC1,protein_coding,1.20092315,2.0565E-141,,,,,
Neu-NRGN-II,ENSG00000172247,C1QTNF4,protein_coding,1.282045926,2.5051E-141,,,,,
Neu-NRGN-II,ENSG00000164742,ADCY1,protein_coding,1.128999602,9.4222E-141,,,,,
Neu-NRGN-II,ENSG00000156642,NPTN,protein_coding,1.260254599,9.5305E-141,,,,,
Neu-NRGN-II,ENSG00000063180,CA11,protein_coding,1.137414892,1.2752E-140,,,,,
Neu-NRGN-II,ENSG00000160932,LY6E,protein_coding,1.154255216,1.8361E-140,,,,,
Neu-NRGN-II,ENSG00000177511,ST8SIA3,protein_coding,1.029028037,2.4385E-140,,,,,
Neu-NRGN-II,ENSG00000189043,NDUFA4,protein_coding,1.319596697,2.9037E-140,,,,,
Neu-NRGN-II,ENSG00000006210,CX3CL1,protein_coding,1.179883648,3.5183E-140,,,,,
Neu-NRGN-II,ENSG00000149269,PAK1,protein_coding,1.106507921,3.5547E-140,,,,,
Neu-NRGN-II,ENSG00000198513,ATL1,protein_coding,1.159809042,3.5688E-140,,,,,
Neu-NRGN-II,ENSG00000184613,NELL2,protein_coding,1.63365205,4.845E-140,,,,,
Neu-NRGN-II,ENSG00000173812,EIF1,protein_coding,1.144134156,9.5927E-140,,,,,
Neu-NRGN-II,ENSG00000105568,PPP2R1A,protein_coding,1.138420512,3.7554E-139,,,,,
Neu-NRGN-II,ENSG00000213585,VDAC1,protein_coding,1.18290007,4.1099E-139,,,,,
Neu-NRGN-II,ENSG00000109738,GLRB,protein_coding,1.008622061,4.4248E-139,,,,,
Neu-NRGN-II,ENSG00000232112,TMA7,protein_coding,1.016207011,1.1275E-138,,,,,
Neu-NRGN-II,ENSG00000078902,TOLLIP,protein_coding,1.16885008,3.8071E-138,,,,,
Neu-NRGN-II,ENSG00000130770,ATPIF1,protein_coding,1.151304893,4.4327E-138,,,,,
Neu-NRGN-II,ENSG00000240694,PNMA2,protein_coding,1.161505073,7.6909E-138,,,,,
Neu-NRGN-II,ENSG00000172270,BSG,protein_coding,1.362452503,1.3795E-137,,,,,
Neu-NRGN-II,ENSG00000143761,ARF1,protein_coding,1.094264288,1.6119E-137,,,,,
Neu-NRGN-II,ENSG00000165943,MOAP1,protein_coding,1.035591801,2.3095E-137,,,,,
Neu-NRGN-II,ENSG00000167468,GPX4,protein_coding,1.165467064,3.5418E-137,,,,,
Neu-NRGN-II,ENSG00000120885,CLU,protein_coding,1.861255069,1.6393E-136,,,,,
Neu-NRGN-II,ENSG00000172115,CYCS,protein_coding,1.053633197,2.5262E-136,,,,,
Neu-NRGN-II,ENSG00000108946,PRKAR1A,protein_coding,1.133351294,6.6394E-136,,,,,
Neu-NRGN-II,ENSG00000112290,WASF1,protein_coding,1.17221294,7.0489E-135,,,,,
Neu-NRGN-II,ENSG00000107742,SPOCK2,protein_coding,1.098227576,7.4988E-135,,,,,
Neu-NRGN-II,ENSG00000123091,RNF11,protein_coding,1.04654704,1.629E-134,,,,,
Neu-NRGN-II,ENSG00000173726,TOMM20,protein_coding,1.098269929,1.629E-134,,,,,
Neu-NRGN-II,ENSG00000112697,TMEM30A,protein_coding,1.054350334,2.0536E-134,,,,,
Neu-NRGN-II,ENSG00000198689,SLC9A6,protein_coding,1.078032553,7.1598E-134,,,,,
Neu-NRGN-II,ENSG00000136238,RAC1,protein_coding,1.073679292,1.2331E-133,,,,,
Neu-NRGN-II,ENSG00000140319,SRP14,protein_coding,1.07742961,1.8932E-133,,,,,
Neu-NRGN-II,ENSG00000108309,RUNDC3A,protein_coding,1.041014806,6.8606E-133,,,,,
Neu-NRGN-II,ENSG00000157152,SYN2,protein_coding,1.643033837,7.0057E-133,,,,,
Neu-NRGN-II,ENSG00000120053,GOT1,protein_coding,1.034573513,1.7411E-132,,,,,
Neu-NRGN-II,ENSG00000105404,RABAC1,protein_coding,1.0700549,2.3052E-132,,,,,
Neu-NRGN-II,ENSG00000168280,KIF5C,protein_coding,1.16168889,2.5573E-131,,,,,
Neu-NRGN-II,ENSG00000176171,BNIP3,protein_coding,1.021480193,4.6694E-131,,,,,
Neu-NRGN-II,ENSG00000066248,NGEF,protein_coding,1.064824211,6.8939E-131,,,,,
Neu-NRGN-II,ENSG00000130748,TMEM160,protein_coding,1.122658587,2.0282E-130,,,,,
Neu-NRGN-II,ENSG00000131100,ATP6V1E1,protein_coding,1.079724518,2.2791E-130,,,,,
Neu-NRGN-II,ENSG00000111726,CMAS,protein_coding,1.003894601,8.2322E-130,,,,,
Neu-NRGN-II,ENSG00000184076,UQCR10,protein_coding,1.009824562,1.3514E-129,,,,,
Neu-NRGN-II,ENSG00000110076,NRXN2,protein_coding,1.127293794,2.8849E-129,,,,,
Neu-NRGN-II,ENSG00000213190,MLLT11,protein_coding,1.070152515,9.583E-129,,,,,
Neu-NRGN-II,ENSG00000120694,HSPH1,protein_coding,1.247101855,1.1857E-128,,,,,
Neu-NRGN-II,ENSG00000103316,CRYM,protein_coding,1.063786029,2.2477E-128,,,,,
Neu-NRGN-II,ENSG00000128524,ATP6V1F,protein_coding,1.062342514,2.8404E-128,,,,,
Neu-NRGN-II,ENSG00000140264,SERF2,protein_coding,1.005653457,3.0395E-128,,,,,
Neu-NRGN-II,ENSG00000034713,GABARAPL2,protein_coding,1.018978668,5.0817E-128,,,,,
Neu-NRGN-II,ENSG00000164733,CTSB,protein_coding,1.108977753,1.7763E-127,,,,,
Neu-NRGN-II,ENSG00000109670,FBXW7,protein_coding,1.330209898,8.1219E-127,,,,,
Neu-NRGN-II,ENSG00000119125,GDA,protein_coding,1.099415587,6.9922E-126,,,,,
Neu-NRGN-II,ENSG00000007237,GAS7,protein_coding,1.065105002,2.2772E-125,,,,,
Neu-NRGN-II,ENSG00000221946,FXYD7,protein_coding,1.009708124,7.8963E-124,,,,,
Neu-NRGN-II,ENSG00000170315,UBB,protein_coding,1.082526082,1.0564E-123,,,,,
Neu-NRGN-II,ENSG00000138814,PPP3CA,protein_coding,1.314887203,1.6822E-123,,,,,
Neu-NRGN-II,ENSG00000104722,NEFM,protein_coding,1.297390406,2.455E-123,,,,,
Neu-NRGN-II,ENSG00000042753,AP2S1,protein_coding,1.002815716,4.0171E-123,,,,,
Neu-NRGN-II,ENSG00000158560,DYNC1I1,protein_coding,1.203944124,1.7417E-122,,,,,
Neu-NRGN-II,ENSG00000135916,ITM2C,protein_coding,1.015419975,1.8113E-122,,,,,
Neu-NRGN-II,ENSG00000124785,NRN1,protein_coding,1.032867594,3.5639E-120,,,,,
Neu-NRGN-II,ENSG00000187122,SLIT1,protein_coding,1.078101929,1.8131E-119,,,,,
Neu-NRGN-II,ENSG00000104833,TUBB4A,protein_coding,1.026214165,1.0279E-113,,,,,
Neu-NRGN-II,ENSG00000123119,NECAB1,protein_coding,1.191374324,4.609E-109,,,,,
Neu-NRGN-II,ENSG00000101489,CELF4,protein_coding,1.381333843,2.0044E-108,,,,,
Neu-NRGN-II,ENSG00000166206,GABRB3,protein_coding,1.190383794,1.2399E-107,,,,,
Neu-NRGN-II,ENSG00000077264,PAK3,protein_coding,1.27199747,9.3913E-107,,,,,
Neu-NRGN-II,ENSG00000134121,CHL1,protein_coding,1.19446446,1.4476E-105,,,,,
Neu-NRGN-II,ENSG00000171951,SCG2,protein_coding,1.120591337,8.1543E-101,,,,,
Neu-NRGN-II,ENSG00000183454,GRIN2A,protein_coding,1.507863769,1.59831E-98,,,,,
Neu-NRGN-II,ENSG00000133083,DCLK1,protein_coding,1.475860304,7.78152E-97,,,,,
Neu-NRGN-II,ENSG00000152932,RAB3C,protein_coding,1.137974263,2.78696E-94,,,,,
Neu-NRGN-II,ENSG00000018236,CNTN1,protein_coding,1.039359484,3.69387E-81,,,,,
Neu-NRGN-II,ENSG00000144290,SLC4A10,protein_coding,1.203125507,1.29293E-76,,,,,
Neu-NRGN-II,ENSG00000185274,WBSCR17,protein_coding,1.100108932,1.1977E-70,,,,,
Neu-NRGN-II,ENSG00000186472,PCLO,protein_coding,1.090248365,2.73832E-55,,,,,
Neu-mat,ENSG00000185774,KCNIP4,protein_coding,2.588485891,0,,,,,
Neu-mat,ENSG00000214548,MEG3,lincRNA,2.018901223,0,,,,,
Neu-mat,ENSG00000229618,AC011288.2,lincRNA,2.930705997,0,,,,,
Neu-mat,ENSG00000250588,IQCJ-SCHIP1,protein_coding,2.781068625,0,,,,,
Neu-mat,ENSG00000184672,RALYL,protein_coding,2.535550611,1.8775E-290,,,,,
Neu-mat,ENSG00000112137,PHACTR1,protein_coding,2.068825226,6.0977E-270,,,,,
Neu-mat,ENSG00000078328,RBFOX1,protein_coding,1.663038373,1.8641E-265,,,,,
Neu-mat,ENSG00000185760,KCNQ5,protein_coding,2.385400392,4.0818E-265,,,,,
Neu-mat,ENSG00000183117,CSMD1,protein_coding,1.640053332,3.7389E-255,,,,,
Neu-mat,ENSG00000048740,CELF2,protein_coding,1.628569972,6.365E-226,,,,,
Neu-mat,ENSG00000186094,AGBL4,protein_coding,2.033323764,5.4987E-223,,,,,
Neu-mat,ENSG00000184305,CCSER1,protein_coding,1.760038703,3.597E-210,,,,,
Neu-mat,ENSG00000145087,STXBP5L,protein_coding,1.855355333,1.693E-209,,,,,
Neu-mat,ENSG00000176204,LRRTM4,protein_coding,1.76635939,1.1172E-207,,,,,
Neu-mat,ENSG00000174482,LINGO2,protein_coding,2.12279598,3.4662E-198,,,,,
Neu-mat,ENSG00000169744,LDB2,protein_coding,2.028919826,1.8276E-193,,,,,
Neu-mat,ENSG00000048991,R3HDM1,protein_coding,1.709799868,3.7618E-192,,,,,
Neu-mat,ENSG00000185008,ROBO2,protein_coding,1.85631857,1.4277E-187,,,,,
Neu-mat,ENSG00000136267,DGKB,protein_coding,1.976986254,9.983E-186,,,,,
Neu-mat,ENSG00000183662,FAM19A1,protein_coding,2.096024007,2.2415E-185,,,,,
Neu-mat,ENSG00000160145,KALRN,protein_coding,1.646226056,1.1936E-183,,,,,
Neu-mat,ENSG00000170579,DLGAP1,protein_coding,1.238743781,8.5694E-181,,,,,
Neu-mat,ENSG00000185352,HS6ST3,protein_coding,2.02445304,5.7324E-178,,,,,
Neu-mat,ENSG00000108684,ASIC2,protein_coding,2.03698114,1.2093E-175,,,,,
Neu-mat,ENSG00000112232,KHDRBS2,protein_coding,1.915436068,4.3558E-175,,,,,
Neu-mat,ENSG00000153707,PTPRD,protein_coding,1.398713388,2.5984E-173,,,,,
Neu-mat,ENSG00000133019,CHRM3,protein_coding,1.917210194,1.7641E-171,,,,,
Neu-mat,ENSG00000237647,ERICH1-AS1,antisense,1.770935057,1.6754E-169,,,,,
Neu-mat,ENSG00000224078,SNHG14,processed_transcript,1.098513905,1.365E-166,,,,,
Neu-mat,ENSG00000172995,ARPP21,protein_coding,1.783918245,1.7917E-166,,,,,
Neu-mat,ENSG00000117114,ADGRL2,protein_coding,1.914067946,1.5228E-156,,,,,
Neu-mat,ENSG00000185737,NRG3,protein_coding,1.03513063,7.1487E-156,,,,,
Neu-mat,ENSG00000145934,TENM2,protein_coding,1.685788277,2.8235E-155,,,,,
Neu-mat,ENSG00000182901,RGS7,protein_coding,1.451611041,4.0455E-154,,,,,
Neu-mat,ENSG00000067715,SYT1,protein_coding,1.234950354,7.7955E-151,,,,,
Neu-mat,ENSG00000141668,CBLN2,protein_coding,1.525431548,1.8203E-148,,,,,
Neu-mat,ENSG00000184347,SLIT3,protein_coding,1.500176052,6.8196E-148,,,,,
Neu-mat,ENSG00000174469,CNTNAP2,protein_coding,1.071271746,1.1222E-144,,,,,
Neu-mat,ENSG00000080224,EPHA6,protein_coding,1.889036795,9.5394E-144,,,,,
Neu-mat,ENSG00000187672,ERC2,protein_coding,1.61021661,2.5261E-140,,,,,
Neu-mat,ENSG00000148408,CACNA1B,protein_coding,1.684238361,7.2632E-139,,,,,
Neu-mat,ENSG00000152578,GRIA4,protein_coding,1.692588593,1.7641E-138,,,,,
Neu-mat,ENSG00000021645,NRXN3,protein_coding,1.117228652,2.6342E-137,,,,,
Neu-mat,ENSG00000198626,RYR2,protein_coding,1.677879183,1.9724E-134,,,,,
Neu-mat,ENSG00000145526,CDH18,protein_coding,1.703773315,1.0923E-132,,,,,
Neu-mat,ENSG00000133083,DCLK1,protein_coding,1.464751195,1.3642E-132,,,,,
Neu-mat,ENSG00000174473,GALNTL6,protein_coding,1.736771401,2.5042E-132,,,,,
Neu-mat,ENSG00000113448,PDE4D,protein_coding,1.095519544,1.0739E-129,,,,,
Neu-mat,ENSG00000053108,FSTL4,protein_coding,1.419191631,2.0706E-128,,,,,
Neu-mat,ENSG00000052126,PLEKHA5,protein_coding,1.530685636,4.7599E-127,,,,,
Neu-mat,ENSG00000139220,PPFIA2,protein_coding,1.224096565,3.4416E-126,,,,,
Neu-mat,ENSG00000225206,MIR137HG,lincRNA,1.427022055,4.2915E-124,,,,,
Neu-mat,ENSG00000107518,ATRNL1,protein_coding,1.376745743,6.5947E-123,,,,,
Neu-mat,ENSG00000151474,FRMD4A,protein_coding,1.155744172,3.6229E-122,,,,,
Neu-mat,ENSG00000183049,CAMK1D,protein_coding,1.5382448,1.0946E-119,,,,,
